"","Met","p-value"
"1","CSF_TOT","0.0347315439475947"
"2","CSF_NFL","0.388233416534808"
"3","CSF_(GCL-IPL)","0.108102101942691"
"4","CSF_INL","0.0809771165377806"
"5","CSF_ORT","0.950112583139139"
"6","SI_TOT","0.329049831506302"
"7","SI_NFL","0.424103228910377"
"8","SI_(GCL-IPL)","0.864913090160814"
"9","SI_INL","0.47396063716252"
"10","SI_ORT","0.538708667710842"
"11","SO_TOT","0.341431281752618"
"12","SO_NFL","0.633504056352829"
"13","SO_(GCL-IPL)","0.0972341063189813"
"14","SO_INL","0.738434342599168"
"15","SO_ORT","0.597394997247417"
"16","NI_TOT","0.0545644971885918"
"17","NI_NFL","0.175001349619957"
"18","NI_(GCL-IPL)","0.864455067664298"
"19","NI_INL","0.282435740110307"
"20","NI_ORT","0.381475275393236"
"21","NO_TOT","0.218196751849712"
"22","NO_NFL","0.796208309314167"
"23","NO_(GCL-IPL)","0.77907979772798"
"24","NO_INL","0.252121969109186"
"25","NO_ORT","0.524102959298896"
"26","II_TOT","0.377979346021533"
"27","II_NFL","0.495968814537163"
"28","II_(GCL-IPL)","0.711255053326611"
"29","II_INL","0.229555313891323"
"30","II_ORT","0.431871847179424"
"31","IO_TOT","0.484976510705492"
"32","IO_NFL","0.855042210191526"
"33","IO_(GCL-IPL)","0.881556610892489"
"34","IO_INL","0.223107439850714"
"35","IO_ORT","0.645883695705459"
"36","TI_TOT","0.281615795676487"
"37","TI_NFL","0.449134203952591"
"38","TI_(GCL-IPL)","0.57044405626329"
"39","TI_INL","0.160045723517163"
"40","TI_ORT","0.73914880825902"
"41","TO_TOT","0.49452223785061"
"42","TO_NFL","0.552558933291527"
"43","TO_(GCL-IPL)","0.373416130228802"
"44","TO_INL","0.501090149105067"
"45","TO_ORT","0.705639583190597"
