"","V1","V2","V3"
"group","Control","DM","Prediabetes"
"IO_ORT_sd"," 7.613254"," 9.433885","25.379756"
"TI_TOT_sd","18.02461","15.58808","14.61875"
"TI_NFL_sd","2.122481","2.707770","1.082126"
"TI_(GCL-IPL)_sd","10.207575"," 9.253137"," 8.437701"
"TI_INL_sd","3.945441","4.551419","3.902768"
"TI_ORT_sd"," 8.921800"," 6.486532","10.148358"
"TO_TOT_sd","12.20837","15.92435","16.53856"
"TO_NFL_sd","2.011665","2.712874","1.641586"
"TO_(GCL-IPL)_sd","5.200654","6.639503","6.261440"
"TO_INL_sd","2.369760","2.149547","2.580731"
"TO_ORT_sd","8.174061","8.018753","8.623937"
